func_name,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
SaturationChecker.couldMatchAtomType,0.890128262,0.873650348,0.810965633
SquareGridTools.findIntersection,0.851082564,0.888662581,0.81827592
Config.setCacheEventJournalConfigs,0.999864297,0.999923762,0.99893716
MathUtil.binomialCoefficient,0.913419714,0.891336425,0.861411673
CmsEmbeddedDialogHandler.onSiteOrProjectChange,0.989445397,0.991734865,0.991874875
RingbufferService.getOrCreateContainer,0.867264668,0.882321281,0.833496718
MetadataType.getType,0.96999044,0.976085266,0.950456889
SubWriterHolderWriter.addInheritedSummaryHeader,0.995892693,0.991523244,0.986486272
RawLocalFileSystem.getFileCrc,0.918736,0.921232764,0.840991749
RythmEngine.createEngine,0.961481617,0.953207063,0.896813709
XMLTokener.nextMeta,0.889346424,0.827934129,0.776870439
DefaultGroovyMethods.collect,0.99987718,0.99986256,1
StatementUtil.prepareCall,0.965261523,0.986158871,0.961146122
ErddapString2.toRational,0.815306733,0.845480939,0.764050317
CrossOperatorBase.executeOnCollections,0.974031535,0.964132529,0.962111683
DancingLinks.split,0.973020019,0.963426884,0.905091577
TableFactoryService.discoverFactories,0.920425872,0.931316677,0.793772756
Storage.writeAll,0.725181138,0.764742512,0.727594259
CmsObject.loginUser,0.845871844,0.83365737,0.756648845
UploadFileHeader.getContentType,0.942892209,0.918530903,0.79192038
GasteigerPEPEPartialCharges.assignGasteigerPiPartialCharges,0.835475594,0.835634533,0.702981207
TypeExtractor.createHadoopWritableTypeInfo,0.877380134,0.865992615,0.817935089
URI.indexFirstOf,0.990682175,0.985371771,0.973716485
ExampleLineDetection.detectLines,0.932319533,0.94663268,0.885859596
UserCodeDeploymentService.handleClassNotFoundException,0.854401524,0.800705208,0.819794866
CanonicalLabeler.breakTies,0.841244163,0.856088118,0.693135623
JsonOutput.getIndent,0.962268706,0.956418147,0.918407116
GribResourceReader.getInputStream,0.88338437,0.894871643,0.794580799
ConfusionMatrix.rowSum,0.994039649,0.992709624,0.974509392
SecureASTCustomizer.setReceiversClassesWhiteList,0.999850712,0.999889877,0.99914748
Partition.inSameCell,0.982078915,0.980885441,0.949458019
JavacTaskImpl.doCall,0.755331961,0.770951834,0.715918919
DownloadController.setup,0.811659214,0.854502278,0.783944335
ELKILauncher.main,0.796671418,0.780889197,0.745702608
DefaultJsonGenerator.writeMap,0.946060801,0.950430491,0.922808048
BaseAsymmetric.initKeys,0.833482323,0.878841205,0.813868
ArrayUtils.append,0.904133816,0.876202921,0.824582886
OptionsSpiderPanel.getHandleODataSpecificParameters,0.993785365,0.99700421,0.99271913
QrCodeDecoderBits.applyErrorCorrection,0.898224164,0.879704124,0.811523499
MemoryFileManager.hasLocation,0.995466119,0.983745262,0.989958872
DefaultGroovyMethods.min,0.976128491,0.951450106,0.931457095
JavacMessages.instance,0.945185673,0.969970196,0.970488425
DataSet.squishToRange,0.911611905,0.929160949,0.862894728
StandardGenerator.generateAnnotation,0.884774209,0.87007366,0.795207875
TabbedPanel2.setTitleAt,0.929229231,0.936351864,0.902360355
HttpResponse.writeBody,0.84680682,0.859994783,0.794575795
NetworkBufferPool.destroyAllBufferPools,0.911695106,0.917161461,0.861029711
Packet.setPacketType,0.749661819,0.728944718,0.801415655
JdiInitiator.listenTarget,0.81413717,0.875969901,0.767164255
AvatarNode.getProtocolVersion,0.995196133,0.990260504,0.986342841
CmsSecurityManager.readOwner,0.990281688,0.994917191,0.979523536
File.getAbsolutePath,0.805330294,0.778256552,0.722156413
GHistogramFeatureOps.histogram,0.969861043,0.964455736,0.926287543
JavacParser.enumeratorDeclaration,0.915455112,0.927829817,0.890889541
WorkbenchPanel.setPanelsVisible,0.999927076,0.999898115,0.998730784
RStarTreeKNNQuery.batchNN,0.954027579,0.960252876,0.902172446
JavacParser.basicType,0.767268687,0.803524939,0.763238155
FastCopy.alignDatanodes,0.986718249,0.974206707,0.935514792
Invocation.initInvocationTarget,0.846638044,0.842794622,0.766019692
EnumUtil.getNames,0.999927209,0.999904795,1
AtomValenceDescriptor.calculate,0.919444229,0.90686463,0.911860747
ClusterManager.checkResourceRequestLimit,0.887515362,0.8786029,0.804735767
StaticTypeCheckingSupport.isAssignableTo,0.942840233,0.92619964,0.755645354
ClosureSignatureHint.pickGenericType,0.920855724,0.89226274,0.874595162
ServerView.inputChanged,0.921939496,0.922677647,0.889983241
HttpPrefixFetchFilter.normalisedPort,0.895487404,0.911383147,0.848556403
CmsProperty.isIdentical,0.913945231,0.923965192,0.841553471
ElasticsearchUtils.convertInetSocketAddresses,0.954864567,0.959636992,0.860054308
CanvasSize.clipToMargin,0.933001463,0.925576078,0.872283006
SameSizeKMeansAlgorithm.initializeMeta,0.981223181,0.967806282,0.966814821
ScanProgressDialog.getJScrollPane,0.939950871,0.94208487,0.897535422
ProcessGroovyMethods.consumeProcessErrorStream,0.972375816,0.98278072,0.917329195
JumboCyclicVertexSearch.toArray,0.969204478,0.989212731,0.943347347
GradientSobel_UnrolledOuter.process_F32_sub,0.962089353,0.967111493,0.943256999
GammaDistribution.logpdf,0.976924241,0.9708311,0.946260952
AbstractMapWritable.write,0.867072695,0.879573471,0.817132676
SiteMap.handleEvent,0.825654351,0.893329577,0.840476495
CommonCache.clearAll,0.687454628,0.718782474,0.714224955
Utils.findClass,0.802765902,0.871914191,0.806707161
TimeSeriesUtils.reshapeTimeSeriesMaskToVector,0.94035908,0.937703272,0.89457939
Config.getMapEventJournalConfig,0.999878093,0.99988727,0.998559494
Sql.executeQuery,0.999912653,0.999859383,0.999144368
UPropertyAliases.getPropertyName,0.933612301,0.947434691,0.87717186
FactoryPyramid.discreteGaussian,0.7856246,0.902462935,0.817993951
CmsPropertyAdvanced.buildEditForm,0.810150284,0.850139909,0.77348744
Number.operate,0.995392678,0.990471154,0.975191598
Script.println,0.994965142,0.97773651,0.965977475
Graph.dfs,0.888240302,0.917625176,0.844850436
ExtensionHook.getHttpSenderListeners,0.99986324,1,0.997426533
SourceTreeManager.getSourceTree,0.838957963,0.887017461,0.787289198
ByteVector.getBytes,0.46998208,0.516082596,0.462691943
SubstructureFingerprinter.setSmarts,0.968437524,0.955580835,0.933967537
IdentityTemplateLibrary.encodeCoordinates,0.909283021,0.924543383,0.818130947
FindDialog.getJPanel1,0.994650307,0.995689469,0.989069696
LabelAwareUimaSentenceIterator.currentLabel,0.718237028,0.731298837,0.623277625
Convert.toSBC,0.945264407,0.956610812,0.936004616
DenseFlowPyramidBase.interpolateFlowScale,0.827679066,0.832597384,0.710009654
KeyedStream.validateKeyTypeIsHashable,0.757120001,0.760105733,0.720888529
