func_name,sample_id,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
BootstrapTools.parseDynamicProperties,26,0.8630232561037583,0.8521364209310642,0.8013755628864552
HttpBody.setCharset,12,0.8628160537521926,0.8887285846374932,0.8230890150203832
CoronaJobHistory.logInited,30,0.8728393434492129,0.9549734422442022,0.880035290407767
JsonUtil.getJsonFriendlyString,29,0.9046115762750935,0.9203544080235904,0.816158951067242
TypeUtil.getType,48,0.7991246023240004,0.8374402966210186,0.7979648310608178
CmsResourceWrapperUtils.addFileExtension,42,0.93735334145135,0.9502373122638099,0.8998714081768703
DetectPolygonFromContour.touchesBorder,27,0.9423605873243687,0.9621033666215947,0.883436856946569
SpiderHtmlFormParser.processGetForm,17,0.9040337958856209,0.900952950785514,0.848146457444359
GeometryTools.findClosestInSpace,34,0.9195945011359589,0.8952611388901323,0.8118044911668002
TaskController.destroyTaskJVM,41,0.8202045541223486,0.8429278033647372,0.731046775115172
Sftp.lsFiles,56,0.9998883302707431,0.9998799332933589,1.0000000000000002
fannkuch.print_30_permut,50,0.8384184679211377,0.8241816874478162,0.8329152166526154
CatGenConfigMetadataFactory.readDatasetFilterElement,7,0.9290742732552443,0.94746912022688,0.8207759976208745
ReadaheadPool.submitReadahead,21,0.9556332411058658,0.9196872070479586,0.8889124038416919
DefaultGroovyMethods.trunc,45,0.9148330293132975,0.9064891588507735,0.8356670491644769
SingleElectronDiff.difference,36,0.9792168418420174,0.9850419325063894,0.9704454680655693
ToHTMLStream.addUniqueAttribute,44,0.8992874308241192,0.8892941285378517,0.7851230060315152
WorkbenchPanel.removePanel,54,0.9736689273170345,0.980382920867535,0.9700676985362776
S3URI.getChild,47,0.9365434514140951,0.9462075620242165,0.880729368294967
Start.begin,66,0.9408951294239497,0.9515569405242452,0.8782047142203282
IoUtil.toStream,38,0.943443200380593,0.9569835556142052,0.9211219025650926
SimpleUnit.makeUnit,24,0.9713404853964096,0.9532110935939581,0.8919251110177299
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,19,0.9177660282118798,0.9377083504643123,0.9032690910786946
TaskInProgress.addRunningTask,15,0.7130953466570872,0.7825821671295965,0.6994342090602044
DateUtil.calendar,49,0.947383336527832,0.9510767611394862,0.9283077521412891
PoissonDistribution.logpmf,23,0.9505824012417975,0.9763323756491942,0.931548907586709
TransliteratorIDParser.parseCompoundID,2,0.921489179002429,0.9279904269217993,0.8718531222883615
ElementUtil.fromModifierSet,31,0.9683886582421025,0.9630607324760359,0.9269594114515268
Sql.inout,22,0.9998894910494766,0.9998543724470597,1.0000000000000002
BytePrimitiveVector.deserialize,0,0.8395378939966843,0.8438498678325786,0.7819315727811497
TimeBoundedStreamJoin.removeExpiredRows,4,0.9337191720162865,0.9251740846399958,0.8509297194926779
InvCatalogFactory.readXMLasynch,16,0.7704604738178497,0.78515782911005,0.8071231602766161
