func_name,sample_id,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
ReadaheadPool.submitReadahead,21,0.9391924977194529,0.9040068984031677,0.9369743466377258,0.9196872070479586,0.9415179491043091,0.9409700036048889,0.9409700036048889,0.9409700036048889,0.9542299509048462,0.9409700036048889,0.9415179491043091
UrlResource.readStr,11,0.9128693864202936,0.8486203551292419,0.8286118507385254,0.8441403405382111,0.8456944823265076,0.8452546000480652,0.8452546000480652,0.8452546000480652,0.8456944823265076,0.9135671257972717,0.9139052629470825
JavacMessages.instance,63,0.9399747055756845,0.9671161770820618,0.9617578983306885,0.9699701955790222,0.9671161770820618,0.9672362208366394,0.9671161770820618,0.9671161770820618,0.9672362208366394,0.9672362208366394,0.9672362208366394
SingleElectronDiff.difference,36,0.9430677010861814,0.9891737699508667,0.9932062029838562,0.9850419325063894,0.9865882992744446,0.9882403612136841,0.9934306740760803,0.9882403612136841,0.9934938549995422,0.9934306740760803,0.9876836538314819
QrCodeUtil.encode,46,0.839630432448584,0.8742605447769165,0.8399009108543396,0.8376974977874146,0.9014724493026733,0.8399009108543396,0.8413099050521851,0.8413099050521851,0.881725549697876,0.905747652053833,0.865193784236908
DetectPolygonFromContour.touchesBorder,27,0.9135068639016178,0.9451302886009216,0.9138941168785095,0.9621033666215947,0.9156218767166138,0.9469904899597168,0.9627317786216736,0.9451302886009216,0.9514703750610352,0.9153432846069336,0.9447075128555298
JumboCyclicVertexSearch.toArray,8,0.8926297648252116,0.9901341795921326,0.9900519251823425,0.9892127312934762,0.9898454546928406,0.9901341795921326,0.9901341795921326,0.9901341795921326,0.9900519251823425,0.9901341795921326,0.9900519251823425
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,10,0.8574992974449133,0.8559496998786926,0.8442715406417847,0.844833824766013,0.8809705972671509,0.8554947376251221,0.8550760746002197,0.8303779363632202,0.879188597202301,0.9176774024963379,0.879188597202301
ElementUtil.fromModifierSet,31,0.9641873542306624,0.9651243090629578,0.9648741483688354,0.9630607324760359,0.9651243090629578,0.9648741483688354,0.9651243090629578,0.9651243090629578,0.9648741483688354,0.9648741483688354,0.9648741483688354
FastCopy.alignDatanodes,18,0.9635388696071198,0.9648938775062561,0.9634593725204468,0.9742067071703917,0.9786155819892883,0.9786155819892883,0.9786155819892883,0.9786155819892883,0.9753115773200989,0.9786155819892883,0.9786750078201294
RangeDateSelector.synchUI,1,0.8643392440350254,0.8926385045051575,0.9404695630073547,0.9235352387587678,0.9458417296409607,0.8517439365386963,0.8598212003707886,0.8798475861549377,0.8534476161003113,0.942445695400238,0.9423139095306396
CmsResourceWrapperUtils.addFileExtension,42,0.9257365649400147,0.9496178030967712,0.9516558647155762,0.9502373122638099,0.9465519785881042,0.9438422918319702,0.94167160987854,0.9438422918319702,0.949647068977356,0.9492546319961548,0.9538543820381165
CacheSimpleConfig.setCacheWriterFactory,64,0.9486157597554052,0.9950835704803467,0.9949648380279541,0.9952278948592391,0.9950835704803467,0.9949648380279541,0.999911367893219,0.9950835704803467,0.9949648380279541,0.9949648380279541,0.9949648380279541
ToHTMLStream.addUniqueAttribute,44,0.851566897539366,0.9331691861152649,0.9355650544166565,0.8892941285378517,0.9151079654693604,0.9126064777374268,0.9145174026489258,0.9145174026489258,0.9151079654693604,0.9145174026489258,0.9151079654693604
