func_name,\texttt{R2E}$_{\text{C1}}$,\texttt{R2E}$_{\text{C3}}$,\texttt{R2E}$_{\text{C4}}$,\texttt{R2E}$_{\text{C5}}$,\texttt{R2E}$_{\text{C6}}$,\texttt{R2E}$_{\text{C7}}$,\texttt{R2E}$_{\text{C8}}$,\texttt{R2E}$_{\text{C9}}$,\texttt{R2E}$_{\text{C2}}$
TypeKindVisitor6.visitNoType,0.993447886,0.999542678,0.999496244,0.999514791,0.993232422,0.999461048,0.999511157,0.999457242,0.993413997
Locale.setDefault,0.884304257,0.880989268,0.894666062,0.894960304,0.910500641,0.914214542,0.853923143,0.887862317,0.892574477
IOUtil.rename,0.862113495,0.952074517,0.933986597,0.890046953,0.850488999,0.931753423,0.928090903,0.908455979,0.932371363
SocketClientSink.open,0.416138315,0.684899246,0.773555784,0.704823949,0.732829945,0.716501155,0.703709827,0.674081564,0.609224321
PojoFieldUtils.readField,0.829021701,0.829011901,0.828730713,0.829438009,0.836833966,0.846953689,0.828463348,0.835914263,0.82931186
ActiveEntity.update,0.899837589,0.929524272,0.912565637,0.911432077,0.902700588,0.939057008,0.917068948,0.931133649,0.899352316
Stylesheet.setLocaterInfo,0.921902911,0.922067172,0.942551965,0.922569261,0.948993507,0.933101211,0.906536763,0.93433315,0.903507821
DatasetViewer.showDeclaration,0.630321494,0.703915345,0.76254416,0.62874691,0.64353002,0.702859668,0.694647154,0.703025123,0.75021684
AbstractReplicatedRecordStore.containsKeyAndValue,0.61633128,0.913700391,0.855284621,0.794383587,0.891787999,0.888377144,0.885284627,0.890172521,0.883832949
StopButton.startProgressMonitorTask,0.673832973,0.781654795,0.797096525,0.690064587,0.835690217,0.78728745,0.82928022,0.821676361,0.806935432
RowTypeInfo.projectFields,0.889309095,0.846317254,0.862730495,0.865279539,0.823475239,0.864050725,0.859333398,0.859184931,0.859481395
CmsCmisTypeManager.setup,0.4690922,0.86627608,0.846097592,0.836376467,0.907059843,0.894397727,0.857716009,0.904645211,0.848799062
JavaStubGenerator.generateClass,0.564057174,0.850870104,0.857894347,0.824682117,0.861009935,0.844825655,0.783394939,0.819721373,0.812894626
DistanceStatisticsWithClasses.exactMinMax,0.934752288,0.950058668,0.95091232,0.951211925,0.953320062,0.955295376,0.950875903,0.950216063,0.951417079
SqlUtil.blobToStr,0.94973085,0.950141336,0.949431735,0.951401331,0.95011643,0.949655722,0.939900258,0.950127282,0.950107887
AtomContainerSet.removeAllAtomContainers,0.870990792,0.940434822,0.971049774,0.971049774,0.941030647,0.930661725,0.966324432,0.931027354,0.945986107
ValueHolder.addPropertyChangeListener,0.939385525,0.940020579,0.938556778,0.939385525,0.914887192,0.938845433,0.93917064,0.93987635,0.939488792
DeprecatedListWriter.addIndexLink,0.837713182,0.866873042,0.821789679,0.786212938,0.870967046,0.853323737,0.850498085,0.853188912,0.8921586
ClientNetworkConfig.addOutboundPortDefinition,0.999914355,0.999914355,0.999911385,0.999893665,0.999924191,1,0.999898135,0.999893549,0.999918155
ThreadGroup.parentOf,0.876463,0.875142835,0.878663054,0.879099904,0.874299436,0.874435541,0.877527365,0.873608911,0.874861602
GempakParameterTable.makeParameter,0.846471029,0.879067647,0.8825396,0.840255935,0.880614129,0.886636966,0.893982815,0.860407532,0.88658768
ImageStatistics.sum,0.97242501,0.999930132,0.999927698,0.97231492,0.999934037,0.973413123,0.999881908,0.972423217,0.972826645
FactoryMultiView.bundleDenseProjective,0.983105061,0.982587955,0.979403871,0.982650137,0.976559105,0.982755208,0.982804323,0.979418353,0.982744207
NestedTable.findCoordinateAxis,0.805578934,0.937626961,0.916258102,0.938548007,0.921895055,0.891003551,0.919085496,0.924694552,0.938708984
InvDatasetImpl.removeLocalMetadata,0.796697624,0.845292911,0.733040547,0.802047629,0.806685239,0.801424314,0.803791024,0.83353359,0.735285333
AddOn.isAddOn,0.697626244,0.865078911,0.837058499,0.797876552,0.74866743,0.839194708,0.866711489,0.880678136,0.903953961
QuadTree.computeNonEdgeForces,0.956887088,0.980668112,0.959617765,0.97471611,0.982858193,0.955655059,0.971288678,0.973059055,0.967910015
ThreddsDataFactory.findAccessByDataFormatType,0.981209711,0.980904239,0.981014832,0.980560121,0.981104123,0.980873391,0.980930675,0.980866171,0.981576963
CompactCharArray.elementAt,0.644263279,0.742818444,0.751652396,0.888810457,0.713928383,0.886632873,0.933573002,0.761438058,0.741966412
HttpMethodBase.getResponseContentLength,0.925828081,0.951488456,0.924633978,0.924911748,0.888737516,0.934451183,0.97130234,0.907383835,0.92456929
AddOn.canLoadInVersion,0.795512439,0.808955425,0.831705537,0.820456194,0.827697155,0.84866813,0.896745249,0.863671229,0.810662539
NetcdfFileWriter.deleteGroupAttribute,0.999933109,0.999867135,0.998687889,0.999914249,0.924438727,0.999897867,1,0.999918133,1
JavacParser.packageName,0.864939895,0.901350574,0.892360642,0.929138286,0.913765879,0.941037264,0.917222513,0.924499548,0.893269636
ServiceProxy.hasService,0.820068825,0.877453859,0.857768722,0.840095589,0.89066759,0.800811412,0.881642467,0.834951329,0.844860833
Runner.writeJobDetails,0.812224694,0.870747973,0.885281934,0.883082594,0.88738271,0.881455771,0.932287639,0.906630412,0.900463772
BackgroundGmmCommon.updateMixture,0.929029988,0.969780817,0.933006293,0.945744377,0.965351485,0.963259113,0.95602444,0.9351183,0.945191685
JobConf.getWorkingDirectory,0.828905275,0.956462105,0.94126655,0.943009204,0.956815015,0.932276628,0.940475424,0.962625043,0.957671807
Assignments.computeSecondCover,0.947202837,0.999878531,0.998454661,0.999903976,0.998025488,0.999894139,0.999885004,0.998290683,0.999889065
BlockReceiver.receivePacket,0.610175985,0.861494086,0.847819139,0.818061221,0.863070184,0.818406305,0.817446079,0.839280122,0.804681585
JShellTool.snippetCompletion,0.812442472,0.821278395,0.857816828,0.857938738,0.791184446,0.87777315,0.810326732,0.816901065,0.887436599
Indexes.matchIndex,0.746522497,0.785050414,0.798954442,0.781955581,0.77588579,0.842589059,0.765265408,0.764577481,0.74858391
