paired methods,original p,adjusted p (Holm-Bonferroni),Cliff's delta,effect size (delta),Wilcoxon r, effect size (r)
qwen3-4B_ires vs qwen3-8B_ires,0.0,0.0,-0.12747648589153493,negligible,-0.15801507663509354,small
qwen3-4B_ires vs doubao-embedding-vision-251215_ires,0.0,0.0,0.8519703940788158,large,-0.8166725427601239,large
