func_name,qwen3-4B_ires,doubao-embedding-vision-251215_ires,qwen3-8B_ires
BootstrapTools.parseDynamicProperties,0.863023256,0.801375563,0.852136421
HttpBody.setCharset,0.862816054,0.823089015,0.888728585
CoronaJobHistory.logInited,0.872839343,0.88003529,0.954973442
JsonUtil.getJsonFriendlyString,0.904611576,0.816158951,0.920354408
TypeUtil.getType,0.799124602,0.797964831,0.837440297
CmsResourceWrapperUtils.addFileExtension,0.937353341,0.899871408,0.950237312
DetectPolygonFromContour.touchesBorder,0.942360587,0.883436857,0.962103367
SpiderHtmlFormParser.processGetForm,0.904033796,0.848146457,0.900952951
GeometryTools.findClosestInSpace,0.919594501,0.811804491,0.895261139
TaskController.destroyTaskJVM,0.820204554,0.731046775,0.842927803
Sftp.lsFiles,0.99988833,1,0.999879933
fannkuch.print_30_permut,0.838418468,0.832915217,0.824181687
CatGenConfigMetadataFactory.readDatasetFilterElement,0.929074273,0.820775998,0.94746912
ReadaheadPool.submitReadahead,0.955633241,0.888912404,0.919687207
DefaultGroovyMethods.trunc,0.914833029,0.835667049,0.906489159
SingleElectronDiff.difference,0.979216842,0.970445468,0.985041933
ToHTMLStream.addUniqueAttribute,0.899287431,0.785123006,0.889294129
WorkbenchPanel.removePanel,0.973668927,0.970067699,0.980382921
S3URI.getChild,0.936543451,0.880729368,0.946207562
Start.begin,0.940895129,0.878204714,0.951556941
IoUtil.toStream,0.9434432,0.921121903,0.956983556
SimpleUnit.makeUnit,0.971340485,0.891925111,0.953211094
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,0.917766028,0.903269091,0.93770835
TaskInProgress.addRunningTask,0.713095347,0.699434209,0.782582167
DateUtil.calendar,0.947383337,0.928307752,0.951076761
PoissonDistribution.logpmf,0.950582401,0.931548908,0.976332376
TransliteratorIDParser.parseCompoundID,0.921489179,0.871853122,0.927990427
ElementUtil.fromModifierSet,0.968388658,0.926959411,0.963060732
Sql.inout,0.999889491,1,0.999854372
BytePrimitiveVector.deserialize,0.839537894,0.781931573,0.843849868
TimeBoundedStreamJoin.removeExpiredRows,0.933719172,0.850929719,0.925174085
InvCatalogFactory.readXMLasynch,0.770460474,0.80712316,0.785157829
MessageInfo.parseType,0.913137543,0.76475015,0.899506391
StereoElementFactory.interpretProjections,0.837953026,0.819851262,0.896910353
GridVariable.showMissingSummary,0.915939851,0.78850797,0.897602659
RangeDateSelector.synchUI,0.901531687,0.87175586,0.923535239
MetaClassImpl.getMethods,0.953942279,0.880740486,0.957308179
TextWriter.output,0.838811206,0.675486449,0.861174093
CmsSearchTab.removeParameter,0.974815415,0.936193578,0.977359924
EigenvalueDecomposition.getD,0.90680147,0.906152979,0.947410471
Calendar.getPatternData,0.93806381,0.918164105,0.96315358
Types.TUPLE,0.940675107,0.901019318,0.945374286
GammaDistribution.chisquaredProbitApproximation,0.831612428,0.773529496,0.907994178
HBondAcceptorCountDescriptor.calculate,0.957898618,0.922606672,0.962081781
SubWriterHolderWriter.addMemberTree,0.976259072,0.960013139,0.978697199
Main.error,0.840333779,0.83589193,0.845495427
RemoteEnvironment.execute,0.978856171,0.921079689,0.971006341
Broker.getAndRemove,0.91119264,0.881020546,0.952502001
AtomicAllocator.getConfiguration,0.999891103,0.998867402,0.999853342
HashUtil.bernstein,0.994553683,0.991436719,0.996579779
NFAStateSerializer.serializeComputationStates,0.994909916,0.988276257,0.99521603
ClassWriter.writeInnerClasses,0.93520291,0.853371173,0.949086769
StructureDiagramGenerator.placeSgroupBrackets,0.926241126,0.868637319,0.951049514
ExampleLineDetection.detectLineSegments,0.977287562,0.90287351,0.977512356
FileAppender.append,0.886268103,0.816938736,0.902460277
AbstractMTreeNode.integrityCheck,0.916388115,0.756929807,0.899676
GIntegralImageOps.convolve,0.991923025,0.979381084,0.9945269
RestApiConfig.disableGroups,0.999916134,0.998570731,1
