func_name,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
PluginDefaultGroovyMethods.collect,0.891793371,0.891382456,0.88428545,0.873394408,0.88428545,0.884280682,0.884280682,0.891382456,0.891382456,0.88428545,0.891382456
DefaultWriteBehindProcessor.callHandler,0.840541231,0.914173186,0.891263962,0.876092802,0.909029424,0.87704128,0.85057205,0.796528339,0.920428097,0.811345458,0.953651547
NNStorage.getNumStorageDirs,0.963237125,0.907622993,0.907622993,0.908406258,0.907622993,0.908434331,0.908434331,0.908434331,0.90854305,0.908143878,0.907622993
OperandStack.swap,0.862109877,0.891882181,0.860276461,0.920553295,0.945734262,0.891605377,0.944960475,0.931903124,0.890550971,0.939111948,0.909237146
SchedulerForType.collectPoolInfoMetrics,0.842347056,0.80734551,0.732392132,0.832676361,0.788921595,0.857082665,0.830153465,0.850485206,0.849931777,0.842807353,0.816020906
CmsSearchIndexList.fillDetailIndexSource,0.846306737,0.902627289,0.961840808,0.957528155,0.961160898,0.956250608,0.951736689,0.959105074,0.953456879,0.953015804,0.958915889
MkCoPTree.approximateLowerHull,0.890210392,0.932519674,0.957277536,0.945169173,0.948852181,0.955254316,0.950818241,0.946876168,0.948210478,0.946023345,0.956074536
AtomPlacer3D.getFarthestAtom,0.942142417,0.93786931,0.938892245,0.930560742,0.93871659,0.941334963,0.930370808,0.941334963,0.941396713,0.941334963,0.941535234
SparseBaseLevel1.dot,0.79688817,0.947967649,0.959094644,0.913723116,0.860601366,0.860421062,0.855704069,0.857037187,0.851820469,0.856772244,0.854336262
MerkleTreeConfig.setMapName,0.929816187,0.931147099,0.931372821,0.946064949,0.93167299,0.931147099,0.931568563,0.931568563,0.931372821,0.931147099,0.931643784
CmsPublishDialog.getWorkflowActionParams,0.903232344,0.948538303,0.951511979,0.933325461,0.931368589,0.951877356,0.943092167,0.940775871,0.936727285,0.936652124,0.930941343
NcStringOrRefType.initDescription,0.887683787,0.912025571,0.933683097,0.911152238,0.999889255,1,1,1,0.999889255,1,0.999889255
Provider.removeService,0.795508918,0.783628047,0.774863482,0.821200024,0.825693667,0.801842809,0.792087317,0.772081196,0.789126515,0.761092424,0.774863482
Optimizer.createPreOptimizedPlan,0.905914698,0.980956018,0.975267112,0.974580708,0.973074973,0.972340941,0.972340941,0.991367698,0.975267112,0.991367698,0.975267112
QueryAtomContainer.setAtoms,0.955577106,0.929222047,0.988085091,0.599373278,0.882814467,0.976644516,0.987771034,0.988085091,0.988085091,0.988085091,0.988085091
TrackerMeanShiftComaniciu2003.distanceHistogram,0.96967901,0.96933496,0.929436147,0.929097528,0.929511607,0.929295242,0.929295242,0.96749413,0.928024292,0.92956692,0.967012048
AbstractTransformBuilder.readAttributeDouble2,0.880373282,0.95545274,0.949441075,0.903996132,0.942163229,0.940012217,0.941535473,0.942828536,0.938614726,0.952828348,0.948667288
ExtensionHook.getAddOnInstallationStatusListeners,0.960210572,0.978274763,1.000000119,0.999911996,0.481399357,0.481092304,0.481092304,0.481092304,0.481092304,0.999924123,0.983461082
Version.of,0.764146226,0.865746856,0.76696372,0.797925548,0.750310421,0.743834555,0.743834555,0.743834555,0.76696372,0.743834555,0.76696372
WindowOperator.registerCleanupTimer,0.847565314,0.99990046,0.999893069,1,1.000000119,0.919581652,0.916538656,0.999893069,0.999893069,0.999893069,0.999893069
